
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING       332
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:5040           0.0.0.0:0              LISTENING       4384
  TCP    0.0.0.0:7680           0.0.0.0:0              LISTENING       1172
  TCP    0.0.0.0:49664          0.0.0.0:0              LISTENING       784
  TCP    0.0.0.0:49665          0.0.0.0:0              LISTENING       640
  TCP    0.0.0.0:49666          0.0.0.0:0              LISTENING       1228
  TCP    0.0.0.0:49667          0.0.0.0:0              LISTENING       1748
  TCP    0.0.0.0:49668          0.0.0.0:0              LISTENING       2724
  TCP    0.0.0.0:49670          0.0.0.0:0              LISTENING       768
  TCP    192.168.1.130:139      0.0.0.0:0              LISTENING       4
  TCP    192.168.1.130:49673    172.172.255.216:443    ESTABLISHED     2296
  TCP    192.168.1.130:49766    23.214.88.218:443      CLOSE_WAIT      5044
  TCP    192.168.1.130:49771    23.214.88.122:443      CLOSE_WAIT      5044
  TCP    192.168.1.130:49776    20.190.167.150:443     TIME_WAIT       0
  TCP    192.168.1.130:49778    128.85.113.132:443     TIME_WAIT       0
  TCP    192.168.1.130:49779    199.232.210.172:80     TIME_WAIT       0
  TCP    192.168.1.130:49780    23.221.133.123:443     ESTABLISHED     1172
  TCP    192.168.1.130:49781    23.221.133.182:443     ESTABLISHED     1172
  TCP    192.168.1.130:49782    23.221.133.182:443     ESTABLISHED     1172
  TCP    192.168.1.130:49786    202.130.202.35:80      TIME_WAIT       0
  TCP    192.168.1.130:49787    51.116.246.106:443     TIME_WAIT       0
