
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING       472
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:5040           0.0.0.0:0              LISTENING       4448
  TCP    0.0.0.0:7680           0.0.0.0:0              LISTENING       1096
  TCP    0.0.0.0:49664          0.0.0.0:0              LISTENING       796
  TCP    0.0.0.0:49665          0.0.0.0:0              LISTENING       644
  TCP    0.0.0.0:49666          0.0.0.0:0              LISTENING       1228
  TCP    0.0.0.0:49667          0.0.0.0:0              LISTENING       1920
  TCP    0.0.0.0:49668          0.0.0.0:0              LISTENING       2720
  TCP    0.0.0.0:49669          0.0.0.0:0              LISTENING       776
  TCP    192.168.1.130:139      0.0.0.0:0              LISTENING       4
  TCP    192.168.1.130:49674    172.172.255.217:443    ESTABLISHED     2856
  TCP    192.168.1.130:49678    23.214.88.169:443      CLOSE_WAIT      4296
  TCP    192.168.1.130:49685    23.214.88.115:443      CLOSE_WAIT      4296
  TCP    192.168.1.130:49782    125.56.205.139:443     ESTABLISHED     4060
  TCP    192.168.1.130:49783    125.56.205.139:443     ESTABLISHED     5220
