
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING       772
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:5985           0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:47001          0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:49664          0.0.0.0:0              LISTENING       580
  TCP    0.0.0.0:49665          0.0.0.0:0              LISTENING       448
  TCP    0.0.0.0:49666          0.0.0.0:0              LISTENING       8
  TCP    0.0.0.0:49667          0.0.0.0:0              LISTENING       896
  TCP    0.0.0.0:49668          0.0.0.0:0              LISTENING       1780
  TCP    0.0.0.0:49669          0.0.0.0:0              LISTENING       572
  TCP    10.0.2.15:139          0.0.0.0:0              LISTENING       4
