Name	Group	Profile	Enabled	Action	Override	Program	Local Address	Remote Address	Protocol	Local Port	Remote Port	Authorized Users	Authorized Computers	Authorized Local Principals	Local User Owner	PolicyAppId	Application Package	
Active Directory Domain Controller -  Echo Request (ICMPv4-In)	Active Directory Domain Services	All	Yes	Allow	No	System	Any	Any	ICMPv4	Any	Any	Any	Any	Any	Any	None	Any	
Active Directory Domain Controller -  Echo Request (ICMPv6-In)	Active Directory Domain Services	All	Yes	Allow	No	System	Any	Any	ICMPv6	Any	Any	Any	Any	Any	Any	None	Any	
Active Directory Domain Controller - LDAP (TCP-In)	Active Directory Domain Services	All	Yes	Allow	No	%systemroot%\System32\lsass.exe	Any	Any	TCP	389	Any	Any	Any	Any	Any	None	Any	
Active Directory Domain Controller - LDAP (UDP-In)	Active Directory Domain Services	All	Yes	Allow	No	%systemroot%\System32\lsass.exe	Any	Any	UDP	389	Any	Any	Any	Any	Any	None	Any	
Active Directory Domain Controller - LDAP for Global Catalog (TCP-In)	Active Directory Domain Services	All	Yes	Allow	No	%systemroot%\System32\lsass.exe	Any	Any	TCP	3268	Any	Any	Any	Any	Any	None	Any	
Active Directory Domain Controller - NetBIOS name resolution (UDP-In)	Active Directory Domain Services	All	Yes	Allow	No	System	Any	Any	UDP	138	Any	Any	Any	Any	Any	None	Any	
Active Directory Domain Controller - SAM/LSA (NP-TCP-In)	Active Directory Domain Services	All	Yes	Allow	No	System	Any	Any	TCP	445	Any	Any	Any	Any	Any	None	Any	
Active Directory Domain Controller - SAM/LSA (NP-UDP-In)	Active Directory Domain Services	All	Yes	Allow	No	System	Any	Any	UDP	445	Any	Any	Any	Any	Any	None	Any	
Active Directory Domain Controller - Secure LDAP (TCP-In)	Active Directory Domain Services	All	Yes	Allow	No	%systemroot%\System32\lsass.exe	Any	Any	TCP	636	Any	Any	Any	Any	Any	None	Any	
Active Directory Domain Controller - Secure LDAP for Global Catalog (TCP-In)	Active Directory Domain Services	All	Yes	Allow	No	%systemroot%\System32\lsass.exe	Any	Any	TCP	3269	Any	Any	Any	Any	Any	None	Any	
Active Directory Domain Controller - W32Time (NTP-UDP-In)	Active Directory Domain Services	All	Yes	Allow	No	%systemroot%\System32\svchost.exe	Any	Any	UDP	123	Any	Any	Any	Any	Any	None	Any	
Active Directory Domain Controller (RPC)	Active Directory Domain Services	All	Yes	Allow	No	%systemroot%\System32\lsass.exe	Any	Any	TCP	RPC Dynamic Ports	Any	Any	Any	Any	Any	None	Any	
Active Directory Domain Controller (RPC-EPMAP)	Active Directory Domain Services	All	Yes	Allow	No	%systemroot%\system32\svchost.exe	Any	Any	TCP	RPC Endpoint Mapper	Any	Any	Any	Any	Any	None	Any	
Active Directory Web Services (TCP-In)	Active Directory Web Services	All	Yes	Allow	No	%systemroot%\ADWS\Microsoft.ActiveDirectory.WebServices.exe	Any	Any	TCP	9389	Any	Any	Any	Any	Any	None	Any	
AllJoyn Router (TCP-In)	AllJoyn Router	Domain, Private	Yes	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Any	TCP	9955	Any	Any	Any	Any	Any	None	Any	
AllJoyn Router (UDP-In)	AllJoyn Router	Domain, Private	Yes	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
BranchCache Content Retrieval (HTTP-In)	BranchCache - Content Retrieval (Uses HTTP)	All	No	Allow	No	SYSTEM	Any	Any	TCP	80	Any	Any	Any	Any	Any	None	Any	
BranchCache Hosted Cache Server (HTTP-In)	BranchCache - Hosted Cache Server (Uses HTTPS)	All	No	Allow	No	SYSTEM	Any	Any	TCP	80, 443	Any	Any	Any	Any	Any	None	Any	
BranchCache Peer Discovery (WSD-In)	BranchCache - Peer Discovery (Uses WSD)	All	No	Allow	No	%systemroot%\system32\svchost.exe	Any	Local subnet	UDP	3702	Any	Any	Any	Any	Any	None	Any	
Cast to Device functionality (qWave-TCP-In)	Cast to Device functionality	Private, Public	Yes	Allow	No	%SystemRoot%\system32\svchost.exe	Any	PlayTo Renderers	TCP	2177	Any	Any	Any	Any	Any	None	Any	
Cast to Device functionality (qWave-UDP-In)	Cast to Device functionality	Private, Public	Yes	Allow	No	%SystemRoot%\system32\svchost.exe	Any	PlayTo Renderers	UDP	2177	Any	Any	Any	Any	Any	None	Any	
Cast to Device SSDP Discovery (UDP-In)	Cast to Device functionality	Public	Yes	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Any	UDP	PlayTo Discovery	Any	Any	Any	Any	Any	None	Any	
Cast to Device streaming server (HTTP-Streaming-In)	Cast to Device functionality	Domain	Yes	Allow	No	System	Any	Any	TCP	10246	Any	Any	Any	Any	Any	None	Any	
