
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    0.0.0.0:88             0.0.0.0:0              LISTENING       724
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING       964
  TCP    0.0.0.0:389            0.0.0.0:0              LISTENING       724
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:464            0.0.0.0:0              LISTENING       724
  TCP    0.0.0.0:593            0.0.0.0:0              LISTENING       964
  TCP    0.0.0.0:636            0.0.0.0:0              LISTENING       724
  TCP    0.0.0.0:3268           0.0.0.0:0              LISTENING       724
  TCP    0.0.0.0:3269           0.0.0.0:0              LISTENING       724
  TCP    0.0.0.0:5985           0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:9389           0.0.0.0:0              LISTENING       2508
  TCP    0.0.0.0:47001          0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:49664          0.0.0.0:0              LISTENING       724
  TCP    0.0.0.0:49665          0.0.0.0:0              LISTENING       640
  TCP    0.0.0.0:49666          0.0.0.0:0              LISTENING       836
  TCP    0.0.0.0:49667          0.0.0.0:0              LISTENING       484
  TCP    0.0.0.0:49668          0.0.0.0:0              LISTENING       724
  TCP    0.0.0.0:49676          0.0.0.0:0              LISTENING       724
  TCP    0.0.0.0:49677          0.0.0.0:0              LISTENING       724
  TCP    0.0.0.0:49689          0.0.0.0:0              LISTENING       716
  TCP    0.0.0.0:49695          0.0.0.0:0              LISTENING       2600
  TCP    0.0.0.0:49706          0.0.0.0:0              LISTENING       724
  TCP    0.0.0.0:49711          0.0.0.0:0              LISTENING       2660
  TCP    127.0.0.1:53           0.0.0.0:0              LISTENING       2660
  TCP    127.0.0.1:40342        0.0.0.0:0              LISTENING       3736
  TCP    127.0.0.1:40343        0.0.0.0:0              LISTENING       2528
  TCP    127.0.0.1:40344        0.0.0.0:0              LISTENING       2528
  TCP    192.168.1.106:53       0.0.0.0:0              LISTENING       2660
  TCP    192.168.1.106:139      0.0.0.0:0              LISTENING       4
  TCP    192.168.1.106:5985     192.168.1.103:55986    TIME_WAIT       0
  TCP    192.168.1.106:63329    192.168.1.106:135      SYN_SENT        808
  TCP    192.168.1.106:63333    192.168.1.106:135      SYN_SENT        808
  TCP    192.168.1.106:63334    192.168.1.106:135      SYN_SENT        808
  TCP    192.168.16.6:53        0.0.0.0:0              LISTENING       2660
  TCP    192.168.16.6:139       0.0.0.0:0              LISTENING       4
  TCP    192.168.16.6:63330     202.130.204.9:80       SYN_SENT        1108
  TCP    192.168.16.6:63331     192.168.16.6:135       SYN_SENT        808
